code,netProfit_x,netProfit_y,roeAvg_y,npMargin_y,gpMargin_y,pe,code_name,avgEarningRate,peg
sz.002157,181732324.41,5507341439.87,0.439117,0.16891,0.271057,7.104636,正邦科技,0.9783447016484206,7.26189449181801
sz.002714,278997065.12,23081616831.88,0.627052,0.58935,0.646667,15.472806,牧原股份,1.4184288694084377,10.908411647355292
sh.600031,60222000.0,12733425000.0,0.254644,0.174689,0.303009,21.714882,三一重工,1.917682375649695,11.323502930271848
sz.000656,828952268.33,5576794345.23,0.150661,0.116851,0.251763,5.331979,金科股份,0.4641009452328997,11.488834605420278
sh.600340,4095468041.74,8049807126.04,0.13829,0.141888,0.424379,2.41675,华夏幸福,0.14471239837073724,16.700365878869288
sh.600585,6132280992.0,25595608069.0,0.171133,0.206444,0.288925,7.620926,海螺水泥,0.3307874019928285,23.03874317488434
sz.002601,64197680.85,1975732052.27,0.139546,0.199603,0.384364,28.923808,龙蟒佰利,0.9844572208401352,29.380462032993613
sz.002624,87890669.46,1779039675.07,0.174666,0.220668,0.593764,25.261922,完美世界,0.824939923657023,30.622741457355986
sz.000002,9538624020.08,30071542918.04,0.101669,0.124524,0.299372,8.899604,万科A,0.25815456053231767,34.47393678286726
sz.002001,284736159.15,2946388992.0,0.165326,0.394254,0.584456,24.99461,新和成,0.5957670456202364,41.953663237581075
sh.601012,252317631.05,6528186397.82,0.209284,0.19296,0.278382,38.864633,隆基股份,0.916765524987291,42.393209540180706
sh.600177,3257540864.43,5557508145.85,0.200926,0.641716,0.478880,5.636539,雅戈尔,0.11275113798027592,49.99097216194861
sh.601009,5228153000.0,10174055000.0,0.105876,0.406228,,7.576989,南京银行,0.14242884104705134,53.19841785061597
sz.002236,760141858.83,2818686408.8,0.165358,0.174357,0.449900,16.657516,大华股份,0.29966200452279446,55.587681282873184
sh.601872,2252029738.41,3992830951.14,0.150159,0.281082,0.311706,7.766981,招商轮船,0.12135044683726304,64.00455212510182
sh.601216,669327377.94,2091013641.29,0.112894,0.195407,0.325498,17.214128,君正集团,0.25586701884260443,67.27763538210917
sh.600438,360384124.5,3407586925.48,0.1589,0.107569,0.165794,39.164028,通威股份,0.5672427099015991,69.04280533952367
sh.601318,56405000000.0,114892000000.0,0.149029,0.125282,,10.737002,中国平安,0.15290742777320232,70.21896945337083
sz.002555,643530061.85,2455739958.19,0.298447,0.217524,0.889243,24.631924,三七互娱,0.30714181408988983,80.19723420918223
sz.300003,471979446.75,2010480898.46,0.225035,0.314772,0.697390,27.166975,乐普医疗,0.3362120160301285,80.8031054950919
sz.300136,140296385.05,747259697.76,0.147192,0.172177,0.344153,32.322999,信维通信,0.3972850608674041,81.3597141796076
sz.002271,463739506.88,2132828166.49,0.185846,0.142402,0.399491,31.095561,东方雨虹,0.3568641071698455,87.13558011369413
sz.002142,5344101000.0,11363085000.0,0.104552,0.3755,,14.946188,宁波银行,0.16285166645822824,91.77792481376741
sh.601877,1367692411.08,3200639214.66,0.121246,0.137679,0.321491,18.036257,正泰电器,0.18535833258605905,97.30480819698806
sh.600183,342426635.47,1405785031.94,0.1422,0.131505,0.277325,34.430623,生益科技,0.326387056675117,105.490160519055
sh.600900,9493313211.85,20351242282.63,0.128577,0.474832,0.639138,17.500386,长江电力,0.1647551060296335,106.22059869180814
sz.002508,485591119.75,1143761749.57,0.156198,0.20329,0.570516,19.875995,老板电器,0.18689682067323954,106.347421686483
sz.300433,1083260044.58,3477180955.77,0.142497,0.133314,0.285284,29.12289,蓝思科技,0.2626963164015106,110.86143269511234
sh.600036,48786000000.0,77070000000.0,0.116541,0.348056,,12.565619,招商银行,0.09576652661013285,131.21097156582536
sh.600845,231099191.62,995272450.81,0.138674,0.174473,0.329079,48.016015,宝信软件,0.33914841407560403,141.57817936691316
sh.600872,186316309.25,728156266.06,0.160094,0.191138,0.418283,45.826165,中炬高新,0.3133931403274288,146.22580747020007
sz.000786,858367507.67,2132780316.65,0.134755,0.176601,0.332062,29.559214,北新建材,0.19965003459420072,148.0551408873065
sz.000568,1385309306.99,4789744439.17,0.2332,0.412945,0.835686,48.430304,泸州老窖,0.2816018273824046,171.98149759956453
sz.000333,11828503940.0,22194003000.0,0.205253,0.102389,0.252893,23.17322,美的集团,0.134125627839907,172.7724997318161
sh.600309,1946276873.59,5620703128.67,0.123952,0.114168,0.225765,43.087402,万华化学,0.2362810293288753,182.35658665608494
sz.000858,4777110529.65,15226890133.11,0.188184,0.358341,0.745307,48.509919,五粮液,0.26092479510075517,185.91532851934622
sz.000596,500610929.02,1532565306.82,0.164718,0.189923,0.759824,49.772317,古井贡酒,0.2507880768953681,198.46364953293067
sh.603369,574296939.55,1313475018.05,0.172696,0.313239,0.716850,37.437683,今世缘,0.17993222707323242,208.0654678095151
sz.002415,3782900374.58,8577197717.37,0.182061,0.204116,0.477149,37.28353,海康威视,0.1778882878683712,209.58957133584886
sz.000538,2134755534.12,4248727229.09,0.111821,0.17754,0.296115,31.687334,云南白药,0.14757780580310742,214.71612094759027
sz.002179,448007291.47,1178204539.92,0.125461,0.153684,0.354769,45.853501,中航光电,0.2133528704771721,214.91860361403548
sz.002773,249672371.83,579044560.0,0.117503,0.246615,0.902180,41.228972,康弘药业,0.18322762262485415,225.0150463634703
sz.300059,1475409774.98,3398059044.69,0.128182,1.46957,0.806424,49.610418,东方财富,0.18158141912588488,273.21307564848695
sh.600352,2585082771.66,3217116880.81,0.12302,0.284826,0.408125,12.25502,浙江龙盛,0.044716556138983066,274.0600139668694
sz.002304,4461171638.58,7188617120.67,0.192403,0.380076,0.732008,32.417239,洋河股份,0.10011803407582476,323.7902072212953
sz.000651,10023135141.59,13791767655.43,0.121818,0.109555,0.233651,21.434773,格力电器,0.06591670678873718,325.1796705909228
sh.600600,1738725767.0,3111124025.0,0.147159,0.12739,0.419758,46.490739,青岛啤酒,0.12340731358418955,376.7259625847346
sz.300033,489308767.17,772099972.12,0.186411,0.463922,0.879759,37.913199,同花顺,0.09551444382966179,396.93681374110815
sz.002008,609710536.67,1021756652.28,0.109915,0.115338,0.408845,47.740399,大族激光,0.10877839442983617,438.87758456292835
sh.600886,8448487310.19,9078335089.43,0.122992,0.305915,0.500678,11.152874,国投电力,0.014484580810590675,769.9825176746134
